final_pair,count,probability
Argentina vs Spain,76,0.076
Portugal vs Spain,68,0.068
England vs Spain,54,0.054
France vs Spain,31,0.031
Brazil vs Spain,28,0.028
Morocco vs Spain,26,0.026
Colombia vs Spain,24,0.024
England vs France,21,0.021
France vs Portugal,18,0.018
Germany vs Spain,17,0.017
France vs Germany,16,0.016
Argentina vs France,15,0.015
Japan vs Spain,15,0.015
Brazil vs France,14,0.014
Argentina vs Germany,12,0.012
England vs Portugal,12,0.012
Argentina vs Portugal,12,0.012
Colombia vs Portugal,11,0.011
Colombia vs France,11,0.011
Norway vs Spain,11,0.011
Germany vs Portugal,11,0.011
England vs Germany,10,0.01
France vs Morocco,10,0.01
Brazil vs Portugal,10,0.01
Germany vs Morocco,10,0.01
