team,group,avg_group_rank,top2_probability,top3_probability,round_of_32_probability,round_of_16_probability,quarterfinal_probability,semifinal_probability,final_probability,runner_up_probability,champion_probability
Spain,H,1.159,0.989,0.999,0.999,0.849,0.711,0.581,0.435,0.109,0.326
France,I,1.652,0.824,0.967,0.946,0.762,0.506,0.343,0.189,0.082,0.107
Portugal,K,1.562,0.89,0.968,0.951,0.755,0.482,0.311,0.196,0.09,0.106
Argentina,J,1.503,0.883,0.969,0.958,0.61,0.472,0.296,0.167,0.092,0.075
England,L,1.476,0.9,0.972,0.964,0.694,0.449,0.256,0.159,0.088,0.071
Germany,E,1.57,0.853,0.983,0.96,0.683,0.395,0.244,0.121,0.056,0.065
Morocco,C,1.667,0.87,0.968,0.947,0.564,0.396,0.213,0.098,0.055,0.043
Brazil,C,1.766,0.837,0.967,0.94,0.553,0.37,0.201,0.1,0.065,0.035
Japan,F,1.674,0.843,0.968,0.949,0.515,0.347,0.166,0.063,0.03,0.033
Colombia,K,1.994,0.746,0.939,0.894,0.575,0.292,0.168,0.084,0.06,0.024
Netherlands,F,1.829,0.813,0.958,0.92,0.449,0.27,0.144,0.058,0.036,0.022
Norway,I,2.229,0.621,0.903,0.837,0.507,0.243,0.119,0.04,0.029,0.011
Senegal,I,2.465,0.482,0.867,0.769,0.442,0.189,0.073,0.033,0.023,0.01
Iran,G,2.146,0.65,0.882,0.821,0.445,0.204,0.055,0.022,0.014,0.008
Turkey,D,1.959,0.718,0.888,0.86,0.536,0.236,0.079,0.033,0.025,0.008
Mexico,A,1.838,0.761,0.926,0.892,0.492,0.196,0.066,0.017,0.009,0.008
Uruguay,H,2.14,0.782,0.954,0.898,0.305,0.144,0.056,0.016,0.01,0.006
Algeria,J,2.367,0.567,0.866,0.781,0.28,0.146,0.062,0.026,0.02,0.006
Belgium,G,1.889,0.733,0.925,0.891,0.576,0.307,0.099,0.032,0.026,0.006
Australia,D,2.477,0.509,0.773,0.708,0.365,0.159,0.043,0.011,0.005,0.006
Croatia,L,2.165,0.693,0.902,0.849,0.422,0.143,0.056,0.017,0.012,0.005
Austria,J,2.684,0.411,0.773,0.671,0.178,0.074,0.023,0.007,0.004,0.003
Switzerland,B,1.552,0.885,0.975,0.953,0.583,0.2,0.074,0.016,0.013,0.003
Ecuador,E,2.269,0.593,0.903,0.828,0.383,0.132,0.041,0.012,0.01,0.002
Scotland,C,3.097,0.195,0.66,0.478,0.109,0.033,0.006,0.004,0.002,0.002
South Korea,A,2.056,0.691,0.911,0.862,0.441,0.159,0.048,0.006,0.004,0.002
Czech Republic,A,2.844,0.354,0.679,0.558,0.199,0.035,0.008,0.002,0.0,0.002
Ivory Coast,E,2.431,0.502,0.899,0.795,0.359,0.125,0.039,0.014,0.012,0.002
Canada,B,2.03,0.721,0.927,0.874,0.398,0.1,0.029,0.005,0.004,0.001
Panama,L,2.975,0.272,0.672,0.54,0.167,0.041,0.009,0.002,0.001,0.001
Egypt,G,2.601,0.445,0.774,0.674,0.298,0.093,0.023,0.007,0.006,0.001
Saudi Arabia,H,3.278,0.135,0.575,0.367,0.04,0.003,0.0,0.0,0.0,0.0
South Africa,A,3.262,0.194,0.484,0.374,0.099,0.01,0.002,0.0,0.0,0.0
Ghana,L,3.384,0.135,0.454,0.321,0.073,0.009,0.001,0.0,0.0,0.0
Curaçao,E,3.73,0.052,0.215,0.134,0.03,0.004,0.001,0.0,0.0,0.0
Sweden,F,3.19,0.192,0.569,0.41,0.095,0.019,0.006,0.001,0.001,0.0
Tunisia,F,3.307,0.152,0.505,0.37,0.074,0.019,0.002,0.0,0.0,0.0
Uzbekistan,K,3.205,0.176,0.568,0.41,0.098,0.03,0.006,0.0,0.0,0.0
DR Congo,K,3.239,0.188,0.525,0.373,0.09,0.019,0.004,0.001,0.001,0.0
Jordan,J,3.446,0.139,0.392,0.29,0.052,0.011,0.003,0.001,0.001,0.0
United States,D,2.55,0.479,0.76,0.682,0.336,0.131,0.029,0.004,0.004,0.0
Bosnia and Herzegovina,B,3.155,0.217,0.571,0.417,0.074,0.006,0.001,0.0,0.0,0.0
Qatar,B,3.263,0.177,0.527,0.359,0.073,0.005,0.001,0.0,0.0,0.0
New Zealand,G,3.364,0.172,0.419,0.326,0.087,0.018,0.002,0.0,0.0,0.0
Iraq,I,3.654,0.073,0.263,0.169,0.045,0.004,0.0,0.0,0.0,0.0
Paraguay,D,3.014,0.294,0.579,0.489,0.175,0.046,0.007,0.001,0.001,0.0
Cape Verde,H,3.423,0.094,0.472,0.269,0.022,0.004,0.0,0.0,0.0,0.0
Haiti,C,3.47,0.098,0.405,0.273,0.043,0.013,0.004,0.0,0.0,0.0
